Section,Channel,Station ID,Station Name,Notes
Pit River,,,,
Pit River,Pit River,PCN,Pit River near Canby,
Pit River,Pit River,P1U,Pit River above Pit 1 Powerhouse,
Pit River,Pit River,PP1,Pit River below Pit 1 Powerhouse near Fall River Mills,
Pit River,Pit River,P35,Pit River below Lake Britton,
Pit River,Pit River,PR4,Pit River below Pit 4 Dam,
Pit River,Pit River,PRB,Pit River at Big Bend,
Pit River,Pit River,PSH,Pit River at Shasta Lake,
McCloud River,,,,
McCloud River,McCloud River,MCD,McCloud River near McCloud,
McCloud River,McCloud River,MC7,McCloud River below McCloud Dam,
McCloud River,McCloud River,MCA,McCloud River at Ah-Di-Na,
McCloud River,McCloud River,MSS,McCloud River above Shasta Lake,
Upper Sacramento River,,,,
Upper Sacramento River,Upper Sacramento River,DLT,Sacramento River at Delta,
Upper Sacramento River,???,SDT,Sacramento River at Delta,flow is duplicate of DLT; provides additional forecast data
Upper-mid Sacramento River,,,,
Upper-mid Sacramento River,Sacramento River,SHA,Shasta Dam,reservoir outflow
Upper-mid Sacramento River,Sacramento River,KWK,Sacramento River at Keswick,
Upper-mid Sacramento River,Sacramento River,BND,Sacramento River at Bend Bridge,
Upper-mid Sacramento River,???,RDF,Red Bluff (alert),very small recording window 1998-2000 - exclude
Upper-mid Sacramento River,Sacramento River,VIN,Sacramento River at Vina Bridge - Main Channel,
Upper-mid Sacramento River,Sacramento River,HMC,Sacramento River at Hamilton City - Main Channel,
Upper-mid Sacramento River,Sacramento River,ORD,Sacramento River at Ord Ferry - Main Channel,
Upper-mid Sacramento River,Sacramento River,BTC,Sacramento River at Butte City,
Upper-mid Sacramento River,Sacramento River,MLW,Sacramento River at Moulton Weir,
Upper-mid Sacramento River,Sacramento River,CLW,Sacramento River at Colusa Weir,
Upper-mid Sacramento River,Sacramento River,COL,Sacramento River at Colusa,
Upper-mid Sacramento River,Sacramento River,SBS,Sacramento River at Butte Slough,
Upper-mid Sacramento River,???,MPS,Meridian Pumps,stage data exists but flow data is missing - exclude
Lower-mid Sacramento River,,,,
Lower-mid Sacramento River,Sacramento River,TIS,Sacramento River at Tisdale Weir,
Lower-mid Sacramento River,Sacramento River,WLK,Sacramento River below Wilkins Slough,
Lower-mid Sacramento River,???,BJP,Byron Jackson Pumps,flow data is missing - exclude
Lower-mid Sacramento River,Sacramento River,FRE,Sacramento River at Fremont Weir,
Lower-mid Sacramento River,Sacramento River,VON,Sacramento River at Verona,
Lower Sacramento River,,,,
Lower Sacramento River,Sacramento River,IST,Sacramento River at I Street Bridge,
Lower Sacramento River,Sacramento River,FPT,Sacramento River at Freeport,
Lower Sacramento River,???,FPX,Sacramento River at Freeport Aux,flow data is not reporting - exclude
Lower Sacramento River,???,SPE,Sac Regional WWTP,manual entry of monthly data only
North Delta,,,,
North Delta,Sacramento River,SDC,Sacramento River above Delta Cross Channel,
North Delta,Sacramento River,GES,Sacramento River below Georgiana Slough,
North Delta,Sacramento River,SOI,Sacramento River downstream of Isleton,
North Delta,Sacramento River,SRV,Sacramento River at Rio Vista,
North Delta,Sacramento River,SDI,Sacramento River at Decker Island,
North Delta,Sacramento River,M13,Sacramento River below Toland Landing,
North Delta,Sacramento River,MAL,Sacramento River at Mallard Island,
Clear Creek,,,,
Clear Creek,Clear Creek,WHI,Whiskeytown Reservoir,reservoir outflow
Clear Creek,Clear Creek,IGO,Clear Creek near Igo,
Cottonwood Creek,,,,
Cottonwood Creek,Cottonwood Creek,NCO,North Fork Cottonwood Creek above Lake at Bridge near Ono,
Cottonwood Creek,Cottonwood Creek,NCB,North Fork Cottonwood Creek at Sunny Hill Mine,
Cottonwood Creek,Cottonwood Creek,COT,Cottonwood Creek,
Cottonwood Creek,???,CWA,Cottonwood Creek Auxiliary Gage,need to confirm that this is recording mainstem flow
Elder Creek,,,,
Elder Creek,Elder Creek,ECP,Elder Creek near Paskenta,
Thomes Creek,,,,
Thomes Creek,Thomes Creek,THO,Thomes Creek at Paskenta,
Stony Creek,,,,
Stony Creek,???,RBW,Rainbow Diversion Dam,cfs in very coarse intervals
Stony Creek,Stony Creek,SUW,Stony Creek near Suwanna Ranch,
Stony Creek,Stony Creek,SCG,Stony Creek near Grizzly Flat,
Stony Creek,Stony Creek,BLB,Black Butte Dam,reservoir outflow
Cow Creek,,,,
Cow Creek,Cow Creek,COW,Cow Creek near Millville,
Bear Creek,,,,
Battle Creek,,,,
Battle Creek,Battle Creek,BTX,North Fork Battle Creek below Diversion to Cross Country Canal,
Battle Creek,Battle Creek,BTW,North Fork Battle Creek below Diversion to Wildcat Canal,
Battle Creek,Battle Creek,BNF,North Fork Battle Creek near Manton,
Battle Creek,Battle Creek,BTI,South Fork Battle Creek below Diversion to Inskip Canal,
Battle Creek,Battle Creek,BTB,South Fork Battle Creek below Diversion to Coleman Canal,
Battle Creek,Battle Creek,BAS,South Fork Battle Creek near Manton,
Battle Creek,Battle Creek,BAT,Battle Creek,
Paynes Creek,,,,
Antelope Creek,,,,
Antelope Creek,Antelope Creek,ATC,Antelope Creek near Red Bluff,
Mill Creek,,,,
Mill Creek,Mill Creek,MLM,Mill Creek near Los Molinos,
Mill Creek,Mill Creek,MCH,Mill Creek below Highway 99,
Deer Creek,,,,
Deer Creek,Deer Creek,DCH,Deer Creek at Highway 32,
Deer Creek,Deer Creek,DCV,Deer Creek near Vina,
Deer Creek,Deer Creek,DVD,Deer Creek below Stanford Vina Dam,
Big Chico Creek,,,,
Big Chico Creek,Big Chico Creek,BIC,Big Chico Creek near Chico,
Butte Creek,,,,
Butte Creek,Butte Creek,BCK,Butte Creek near Chico,
Butte Creek,Butte Creek,BCD,Butte Creek near Durham,
Butte Creek,Butte Creek,BWC,Butte Creek near Western Canal,
Feather River,,,,
Feather River,Feather River,WFR,West Branch Feather River near Magalia,
Feather River,Feather River,F70,North Fork Feather River below Belden Dam,
Feather River,Feather River,F57,North Fork Feather River below Rock Creek Diversion Dam,
Feather River,Feather River,F56,North Fork Feather River below Grizzly Creek,
Feather River,Feather River,NFP,North Fork Feather River at Pulga,
Feather River,Feather River,MFP,Middle Fork Feather River near Portola,
Feather River,Feather River,MER,Middle Fork Feather River at Merrimac,
Feather River,Feather River,ORO,Oroville Dam - Spillway,reservoir outflow; combine with KLL for total flow
Feather River,Feather River,KLL,Oroville Dam - Kelly Ridge Power Plant,reservoir outflow; combine with ORO for total flow
Feather River,???,FTO,Feather River at Oroville,not mainstem; monthly canal diversion data reported as daily
Feather River,???,TFB,Thermalito Diversion Dam Fish Barrier,not mainstem
Feather River,???,ORF,Oroville Fish Hatchery,not mainstem
Feather River,Feather River,GRL,Feather River near Gridley,
Feather River,Feather River,FSB,Feather River at Boyd's Landing above Star Bend,
Yuba River,,,,
Yuba River,Yuba River,GYB,North Yuba River below Goodyears Bar,
Yuba River,Yuba River,NYS,North Yuba River above Slate Creek near Strawberry,
